title,mixed fandom,ships,characters,hits,kudos,published
Not Another Day,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki & Midoriya Izuku', 'Dabi | Todoroki Touya & Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya']",1868,72,21 Mar 2023
Heartsong,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Sensei | All for One/Reader', 'Sensei | All for One/You', 'Sensei | All For One/Original Character(s)']","['Reader', 'Sensei | All For One', 'Original Characters']",180,17,21 Mar 2023
A Hero’s (Sexy) Duty,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Kayama Nemuri | Midnight', 'Yaoyorozu Momo', 'Jirou Kyouka', 'Uraraka Ochako', 'Kendou Itsuka', 'OC - Character']",2028,15,21 Mar 2023
For The Cool In You,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Dabi | Todoroki Touya/Todoroki Shouto'],"['Dabi | Todoroki Touya', 'Todoroki Shouto', 'Todoroki Rei', 'Todoroki Fuyumi', 'Todoroki Natsuo']",792,69,21 Mar 2023
To Struggle,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Uraraka Ochako', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Class 1-A & Midoriya Izuku', 'Midoriya Izuku & Todoroki Shouto', 'Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki & Kirishima Eijirou', 'Midoriya Inko/Yagi Toshinori | All Might']","['Midoriya Izuku', 'Midoriya Inko', 'Midoriya Hisashi', 'Uraraka Ochako', ""Uraraka Ochako's Parents"", 'Eri (My Hero Academia)', 'Toogata Mirio', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Todoroki Shouto', 'Kirishima Eijirou', 'Ashido Mina', 'Asui Tsuyu']",27344,1543,21 Mar 2023
PAY ATTENTION TO ME!!,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Kirishima Eijirou', 'Class 1-A (My Hero Academia)', 'Todoroki Shouto', 'Iida Tenya', 'Uraraka Ochako', 'Kaminari Denki', 'Ojiro Mashirao', 'Shinsou Hitoshi', 'Sero Hanta', 'Jirou Kyouka']",2923,490,21 Mar 2023
All We Are (is burning stars),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic'],"['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic']",931,102,19 Mar 2023
A Little Shuteye,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might'],"['Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might']",141,17,19 Mar 2023
I'm Death. Straight Up. (Death!Male!Reader x Multiverse Harem),"['Fandoms:\nMulti-Fandom, Dragon Ball, DC Animated Universe (Timmverse), 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), Avatar: The Last Airbender, Avatar: Legend of Korra, Shingeki no Kyojin | Attack on Titan']","['Harem - Relationship', 'Bulma Briefs/Reader', 'Chi-Chi (Dragon Ball)/Reader', 'Android 18 (Dragon Ball)/Reader', 'Mikasa Ackerman/Reader', 'Annie Leonhart/Reader', 'Kayama Nemuri | Midnight & Reader']","['Male Reader', 'Batman', 'Mina Ashido', 'Chi-Chi (Dragon Ball)', 'Android 18 (Dragon Ball)', 'Puss in Boots']",2117,56,19 Mar 2023
Scorching Moonlight,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Kaminari Denki/Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead & Shinsou Hitoshi']","['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Shinsou Hitoshi', 'Kaminari Denki', 'Kayama Nemuri | Midnight']",2957,171,19 Mar 2023
