title,mixed fandom,ships,characters,hits,kudos,published
Like Sunlight Driving Out the Clouds,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Midoriya Izuku/Tokoyami Fumikage'],"['Midoriya Izuku', 'Tokoyami Fumikage', 'Dark Shadow (My Hero Academia)']",1238,101,28 Oct 2021
What's SHE doing here?,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kaminari Denki & Toga Himiko (Cousins)', 'Kaminari Denki/Shinsou Hitoshi', 'Jirou Kyouka/Kaminari Denki', 'Jirou Kyouka/Kaminari Denki/Shinsou Hitoshi']","['Kaminari Denki', ""Kaminari Denki's Family"", 'Toga Himiko']",566,46,28 Oct 2021
28- Clawed,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Midoriya Izuku', 'Todoroki Shouto', 'Bakugou Katsuki', 'Todoroki Enji | Endeavor']",35,,28 Oct 2021
I Won't Say I'm in Love,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Inui Ryou | Hound Dog & Reader'],"['Inui Ryou | Hound Dog', 'Reader']",339,27,28 Oct 2021
"(Un-) Subtlety is All You Need, Love",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kaminari Denki/Jirou Kyouka', 'Kaminari Denki/Jirou Kyouka']","['Bakugou Katsuki', 'Kaminari Denki', 'Jirou Kyouka']",295,26,28 Oct 2021
Worth It,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kayama Nemuri | Midnight/Yamada Hizashi | Present Mic'],"['Yamada Hizashi | Present Mic', 'Kayama Nemuri | Midnight']",123,8,28 Oct 2021
your heart got teeth,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],[],15695,2223,28 Oct 2021
get in the fucking lobby shigaraki!,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Shigaraki Tomura | Shimura Tenko/Reader'],['Shigaraki Tomura | Shimura Tenko'],2121,89,26 Oct 2021
To be watched,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki & Kirishima Eijirou']","['Kirishima Eijirou', 'Bakugou Katsuki']",5287,319,26 Oct 2021
set the bar a little too high,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Iida Tenya/Todoroki Shouto', 'Iida Tensei | Ingenium & Iida Tenya']","['Iida Tenya', 'Todoroki Shouto', 'Asui Tsuyu', 'Kaminari Denki', 'Ashido Mina', 'Hagakure Tooru', 'Yaoyorozu Momo', 'Uraraka Ochako', 'Shinsou Hitoshi', 'Midoriya Izuku', 'Tokoyami Fumikage']",893,86,26 Oct 2021
Vengeance,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Inko & Midoriya Izuku', 'Bakugou Katsuki & Uraraka Ochako']","['Midoriya Izuku', 'Uraraka Ochako', 'Bakugou Katsuki', 'Mentioned Midoriya Inko - Character', 'Mentioned Takeyama Yuu | Mount Lady']",4257,198,26 Oct 2021
Under the Jeweled Sky,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Midoriya Izuku', 'Bakugou Katsuki']",178,18,26 Oct 2021
Love in Sign Language,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Kirishima Eijirou', 'Todoroki Shouto', 'Sero Hanta', 'Class 1-A (My Hero Academia)']",778,112,26 Oct 2021
Costume Party.,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Sero Hanta/Ojiro Mashirao'],"['Ojiro Mashirao', 'Sero Hanta']",578,24,26 Oct 2021
a battle of wits and skills (the bet),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Iida Tenya/Sero Hanta'],"['Sero Hanta', 'Iida Tenya', 'Kaminari Denki', 'Shiozaki Ibara', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako', 'Yaoyorozu Momo', 'Kan Sekijirou | Vlad King']",334,27,26 Oct 2021
Last Meal,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Shinsou Hitoshi'],"['Shinsou Hitoshi', 'Bakugou Katsuki']",967,53,26 Oct 2021
"Don't see, don't hear, don't think",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Hisashi/Midoriya Inko', 'Midoriya Inko/Sensei | All For One']","['Midoriya Izuku', 'Midoriya Inko', 'Midoriya Hisashi', 'Sensei | All For One']",550,33,26 Oct 2021
Get Me a Doctor,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Bakugou Katsuki', 'Midoriya Izuku', 'Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Kayama Nemuri | Midnight', 'Sensei | All For One', 'League of Villains (My Hero Academia)', 'Original Male Character(s)']",24,,26 Oct 2021
Let's blame the ferret,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kaminari Denki/Shinsou Hitoshi'],"['Kaminari Denki', 'Shinsou Hitoshi', 'Bakugou Katsuki', 'Jirou Kyouka', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic']",1433,211,26 Oct 2021
chilling in a hot tub,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],"['Kirishima Eijirou', 'Bakugou Katsuki', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead']",882,156,26 Oct 2021
Behind Closed Doors,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku/Shinsou Hitoshi']","['Bakugou Katsuki', 'Shinsou Hitoshi', 'Midoriya Izuku']",570,34,26 Oct 2021
The Spark of a Memory only means Pain,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kaminari Denki/Shinsou Hitoshi', 'Bakugou Katsuki/Kirishima Eijirou']","['Kaminari Denki', 'Shinsou Hitoshi', 'Bakugou Katsuki', 'Kirishima Eijirou']",560,77,26 Oct 2021
Kaminari Denki: Certified Lover of Monsters,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kaminari Denki & Midoriya Izuku', 'Kaminari Denki & Yaoyorozu Momo', 'Kaminari Denki & Todoroki Shouto']","['Kaminari Denki', 'Yaoyorozu Momo', 'Todoroki Shouto', 'Midoriya Izuku', 'Ojiro Mashirao', 'Mineta Minoru', 'Aizawa Shouta | Eraserhead']",29326,4854,27 Oct 2021
Game of Chess,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Midoriya Izuku', 'Nedzu (My Hero Academia)', 'Todoroki Shouto', 'League of Villains (My Hero Academia)']",6122,560,26 Oct 2021
Disarm Me,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Chisaki Kai | Overhaul/Midoriya Izuku'],"['Chisaki Kai | Overhaul', 'Midoriya Izuku', 'Eri (My Hero Academia)']",1582,138,26 Oct 2021
Castle Usurpation Main Story,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kirishima Eijirou/Reader', 'Bakugou Katsuki/Kirishima Eijirou', 'Midoriya Izuku/Reader', 'Midoriya Izuku/Uraraka Ochako', 'Todoroki Shouto/Yaoyorozu Momo', 'Jirou Kyouka/Kaminari Denki', 'Kaminari Denki/Reader', 'Toogata Mirio/Reader', 'Amajiki Tamaki/Reader', 'Amajiki Tamaki/Hadou Nejire', 'Takami Keigo | Hawks/Reader', 'Ashido Mina/Kirishima Eijirou', 'Todoroki Shoto/Reader', 'Bakugo Katsuki/Reader', 'Hitoshi Shinsou/Reader']","['Midoriya Izuku', 'Todoroki Shoto', 'Bakugo Katsuki', 'Takami Keigo | Hawks', 'Kirishima Eijirou', 'Kaminari Denki', 'Hitoshi Shinsou', 'Amajiki Tamaki', 'Toogata Mirio', 'Uraraka Ochako', 'Ashido Mina', 'Yaoyorozu Momo', 'Jirou Kyouka', 'Hadou Nejire', 'Aizawa Shouta | Eraserhead', 'Eri (My Hero Academia)', 'Dabi | Todoroki Touya', 'Shigaraki Tomura | Shimura Tenko', 'Toga Himiko', 'Sako Atsuhiro | Mr. Compress', 'Bubaigawara Jin | Twice', 'Sensei | All For One', 'Chisaki Kai | Overhaul', 'Nomu', 'Todoroki Enji | Endeavor', 'Reader| Everen Rosemeade']",195,2,26 Oct 2021
Day 25: Sugar Daddy,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Sasaki Mirai | Sir Nighteye/Reader'],"['Sasaki Mirai | Sir Nighteye', 'Reader']",1498,92,26 Oct 2021
The Problem Child Gets a Daddy,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Aizawa Shouta | Eraserhead/Midoriya Izuku'],"['Midoriya Izuku', 'Aizawa Shouta | Eraserhead']",22664,766,24 Oct 2021
forgive and forget | k. bakugou,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Original Female Character(s)', 'Bakugou Katsuki & Midoriya Izuku', 'Class 1-A (My Hero Academia) & Original Character(s)']","['Original Female Character(s) of Color', 'Bakugou Katsuki', 'Midoriya Izuku', 'Yagi Toshinori | All Might', 'Todoroki Shouto', 'Kirishima Eijirou', 'Kaminari Denki', 'Ashido Mina', 'Sensei | All For One', 'Shigaraki Tomura | Shimura Tenko', 'Class 1-A (My Hero Academia)', 'Uraraka Ochako', 'Kayama Nemuri | Midnight', 'Aizawa Shouta | Eraserhead', 'Shouji Mezou', 'Mineta Minoru', 'Iida Tenya', 'Asui Tsuyu', 'Amajiki Tamaki']",1463,20,24 Oct 2021
River Monster Mystery! [Mineta & Kaminari x Reader],['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kaminari Denki/Reader', 'Mineta Minoru/Reader']","['Kaminari Denki', 'Mineta Minoru', 'Kirishima Eijirou', 'Bakugou Katsuki', 'Reader', 'Aizawa Shouta | Eraserhead', 'Ashido Mina', 'Yaoyorozu Momo']",430,14,24 Oct 2021
The Quirk-Trafficing Auction,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kurogiri & Shigaraki Tomura | Shimura Tenko', 'Sensei | All For One & Shigaraki Tomura | Shimura Tenko', 'Garaki Kyuudai | Ujiko Daruma & Shigaraki Tomura | Shimura Tenko']","['Shigaraki Tomura | Shimura Tenko', 'Kurogiri (My Hero Academia)', 'Sensei | All For One', 'Garaki Kyuudai | Ujiko Daruma', 'Surprise Antagonists']",1455,175,24 Oct 2021
Alt Deku,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Class 1-A (My Hero Academia)', 'Bakugou Katsuki', 'Midoriya Izuku', 'Kaminari Denki', 'Kirishima Eijirou']",1877,214,25 Oct 2021
Bending the Knee,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'My Hero Academia Ensemble']",5863,279,24 Oct 2021
Simply Quirkless (simply hated),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Shigaraki Tomura | Shimura Tenko', 'Midoriya Izuku & Shigaraki Tomura | Shimura Tenko']","['Shigaraki Tomura | Shimura Tenko', 'Midoriya Izuku']",1364,85,24 Oct 2021
de:ny,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],['Class 1-A (My Hero Academia)'],53,4,24 Oct 2021
Blood Rage,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya/Takami Keigo | Hawks', 'Dabi | Todoroki Touya & Todoroki Shouto', 'Dabi | Todoroki Touya & Todoroki Enji | Endeavor']","['Dabi | Todoroki Touya', 'Todoroki Shouto', 'Bubaigawara Jin | Twice', 'Kurogiri (My Hero Academia)']",516,54,24 Oct 2021
"Part 7: New Hope, New Home, New Family",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Todoroki Shouto', 'Kaminari Denki/Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Midoriya Izuku & Shinsou Hitoshi', 'Kaminari Denki & Midoriya Izuku', 'Shinsou Hitoshi & Todoroki Shouto', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Eri & Midoriya Izuku']","['Midoriya Izuku', 'Shinsou Hitoshi', 'Eri (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Todoroki Shouto', 'Kaminari Denki']",4846,359,24 Oct 2021
Just go away!,"[""Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia, I'm gonna try and add like 2 chapters a day (they won't be very long tho)""]","['Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku/Original Male Character(s)', 'Midoriya Izuku/Bakugou Katsuki (one sided)', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & U.A. Faculty', 'Class 1-A & Midoriya Izuku']","['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Bakugou Katsuki', 'Original Male Character(s)', 'Black Haired Bully']",3060,169,24 Oct 2021
My Hero! [Adult Quirkless Midoriya x Reader],['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Midoriya Izuku/Reader'],"['Midoriya Izuku', 'Bakugou Katsuki', 'Reader']",869,48,24 Oct 2021
12 Days of Christmas [Endeavor/Enji x Reader],['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Todoroki Enji | Endeavor/Reader'],"['Reader', 'Todoroki Enji | Endeavor', 'Todoroki Shouto', 'Todoroki Fuyumi', 'Todoroki Natsuo', 'Todoroki Family (My Hero Academia)', 'Original Characters']",717,45,24 Oct 2021
Hiraeth,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Chikazoku Tomoyasu | Skeptic']",154,17,24 Oct 2021
𝐎𝐜𝐭𝐨𝐛𝐞𝐫 | t. shigaraki,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Shigaraki Tomura | Shimura Tenko/Reader'],['Shigaraki Tomura | Shimura Tenko'],247,5,24 Oct 2021
Pack(ed) Night,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Sero Hanta/Todoroki Shouto', 'Ashido Mina/Sero Hanta/Todoroki Shouto', 'Ashido Mina/Todoroki Shouto', 'Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki/Todoroki Shouto', 'Kirishima Eijirou/Todoroki Shouto', 'Bakugou Katsuki/Kirishima Eijirou/Todoroki Shouto', 'Jirou Kyouka/Kaminari Denki', 'Shinsou Hitoshi/Todoroki Shouto']","['Kirishima Eijirou', 'Bakugou Katsuki', 'Sero Hanta', 'Todoroki Shouto', 'Ashido Mina', 'Jirou Kyouka', 'Shinsou Hitoshi', 'Kaminari Denki']",3344,143,24 Oct 2021
Hara Morie (M!OC) - My Hero Academia,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Kaibara Sen/Original Male Character(s)', 'Sero Hanta/Todoroki Shouto', 'Bakugou Katsuki/Shinsou Hitoshi']","['Original Male Character(s)', 'Aoyama Yuuga', 'Ashido Mina', 'Asui Tsuyu', 'Iida Tenya', 'Uraraka Ochako', 'Kaminari Denki', 'Kirishima Eijirou', 'Shouji Mezou', 'Jirou Kyouka', 'Sero Hanta', 'Tokoyami Fumikage', 'Todoroki Shouto', 'Bakugou Katsuki', 'Midoriya Izuku', 'Yaoyorozu Momo', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Yagi Toshinori | All Might', 'Nedzu (My Hero Academia)', 'Shuuzenji Chiyo | Recovery Girl', 'Inui Ryou | Hound Dog', 'Awase Yousetsu', 'Kaibara Sen', 'Kendo - Character', 'Monoma Neito', 'Kuroiro Shihai', 'Shiozaki Ibara', 'Tetsutetsu Tetsutetsu', 'Tokage Setsuna', 'Shinsou Hitoshi', 'Hatsume Mei', 'Akaguro Chizome | Stain', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Pro Heroes (My Hero Academia)', 'League of Villains (My Hero Academia)']",78,4,24 Oct 2021
To be in your shoes,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Bakugou Katsuki', 'Aizawa Shouta | Eraserhead & Kaminari Denki', 'Jirou Kyouka & Kaminari Denki', 'Kaminari Denki & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Yaoyorozu Momo', 'Midoriya Izuku & Yaoyorozu Momo', 'Kaminari Denki & Yaoyorozu Momo', 'Class 1A & Class 1A', 'Aizawa Shouta | Eraserhead & Kouda Kouji']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Bakugou Katsuki', 'Kaminari Denki', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Kouda Kouji', 'Class 1-A (My Hero Academia)']",3631,210,24 Oct 2021
yellow hyacinths,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Todoroki Shouto'],"['Bakugou Katsuki', 'Todoroki Shouto', 'Midoriya Izuku (mentioned)']",3869,637,24 Oct 2021
"coffee, cats, cock",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Aizawa Shouta | Eraserhead/Shinsou Hitoshi'],"['Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead']",7432,635,24 Oct 2021
Izuku Needs a Hug,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Midoriya Izuku & Yagi Toshinori | All Might'],"['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Uraraka Ochako', 'Iida Tenya', 'Todoroki Shouto']",2529,421,22 Oct 2021
Interview in The waits,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki & Midoriya Izuku'],"['Midoriya Izuku', 'Bakugou Katsuki']",6083,1008,22 Oct 2021
You Belong To Me (it's fine),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Amajiki Tamaki/Toogata Mirio', 'Amajiki Tamaki/Hadou Nejire']","['Toogata Mirio', 'Hadou Nejire', 'Amajiki Tamaki', 'Haya Yuuyu', 'Toyomitsu Taishirou | Fat Gum', 'Kirishima Eijirou', 'Uraraka Ochako', 'Sasaki Mirai | Sir Nighteye']",520,31,22 Oct 2021
Don’t Sleep on Me,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kayama Nemuri | Midnight/Reader'],"['Kayama Nemuri | Midnight', 'Reader']",2588,103,22 Oct 2021
Blood-Matted Hair,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Kirishima Eijirou', 'Tetsutetsu Tetsutetsu', 'Bakugou Katsuki']",194,28,22 Oct 2021
Izuku's Multiverse (HEAVY EDITING),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Class 1-A & Midoriya Izuku', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku/Todoroki Shouto', 'Midoriya Izuku/Everyone', 'Midoriya Izuku & Everyone', 'Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku/Shinsou Hitoshi']","['Midoriya Izuku', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Asui Tsuyu', 'Bakugou Katsuki', 'Kaminari Denki', 'Ashido Mina', 'Kirishima Eijirou', 'Sero Hanta', 'Tokoyami Fumikage', 'Ojiro Mashirao', 'Hagakure Tooru', 'Kouda Kouji', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Shouji Mezou', 'Aoyama Yuuga', 'Mineta Minoru', 'Satou Rikidou', 'Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Kayama Nemuri | Midnight', 'Nezu', 'Nedzu (My Hero Academia)', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Eri (My Hero Academia)', 'Izumi Kouta', 'Original Characters', 'Dabi (My Hero Academia)', 'Todoroki Touya', 'Takami Keigo | Hawks']",124102,2536,22 Oct 2021
Pressure,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Ashido Mina & Kaminari Denki'],['Ashido Mina'],149,16,22 Oct 2021
MHA: The Bastard,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],[],7,,22 Oct 2021
What hides behind a smile,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Shigaraki Tomura | Shimura Tenko', 'League of Villains & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Sensei | All For One']","['Midoriya Izuku', 'Shigaraki Tomura | Shimura Tenko', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Bubaigawara Jin | Twice', 'Dabi | Todoroki Touya', 'Sako Atsuhiro | Mr. Compress', 'Kurogiri (My Hero Academia)', 'Sensei | All For One']",16503,935,22 Oct 2021
Call Me Uncle Sho,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Midoriya Inko', 'Midoriya Hisashi & Midoriya Inko', 'Aizawa Shouta | Eraserhead & Shuuzenji Chiyo | Recovery Girl']","['Aizawa Shouta | Eraserhead', 'Midoriya Izuku', 'Midoriya Inko', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)']",3599,392,22 Oct 2021
Caught Stealing (Glances),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Takami Keigo | Hawks/Todoroki Enji | Endeavor'],"['Takami Keigo | Hawks', 'Todoroki Enji | Endeavor', 'Kamihara Shinya | Edgeshot']",1996,120,22 Oct 2021
Looking-Glass,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],['Monoma Neito'],133,19,22 Oct 2021
"Hello, I'm here / I'm living in the wall","['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia, The Magnus Archives (Podcast)']",['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Ashido Mina', 'Jonathan ""Jon"" Sims | The Archivist', 'Kaminari Denki', 'Kirishima Eijirou', 'Sero Hanta', 'Basira Hussain', 'Helen | The Distortion (The Magnus Archives)']",656,102,22 Oct 2021
Don't Be Mad!,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Midoriya Izuku/Shinsou Hitoshi'],"['Midoriya Izuku', 'Shinsou Hitoshi']",1282,123,22 Oct 2021
Tipping Scales,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki & Kirishima Eijirou']",[],752,124,22 Oct 2021
All or Nothing,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Aizawa Shouta | Eraserhead & Shinsou Hitoshi'],"['Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead']",2373,334,22 Oct 2021
You Make Me Weak,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Reader'],"['Bakugou Katsuki', 'Sero Hanta', 'Uraraka Ochako', 'Kaminari Denki', 'Kirishima Eijirou', 'Ashido Mina']",1063,70,22 Oct 2021
Till The Sun Comes Back Around,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kirishima Eijirou/Todoroki Shouto'],"['Todoroki Shouto', 'Kirishima Eijirou']",3149,214,22 Oct 2021
Hips Don't Lie,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kaminari Denki/Sero Hanta'],"['Kaminari Denki', 'Sero Hanta']",1756,261,22 Oct 2021
Diving Deeper,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kaminari Denki/Reader', 'Bakugou Katsuki/Reader', 'Kirishima Eijirou/Reader', 'Sero Hanta/Reader', 'Bakugou Katsuki/Kaminari Denki/Kirishima Eijirou/Sero Hanta']","['Kaminari Denki', 'Sero Hanta', 'Kirishima Eijirou', 'Bakugou Katsuki', 'Reader']",1693,165,22 Oct 2021
Inari,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi & Todoroki Shouto', 'Todoroki Fuyumi & Todoroki Shouto', 'Todoroki Enji | Endeavor & Todoroki Shouto', 'Aizawa Shouta | Eraserhead & Tsukauchi Naomasa']","['Todoroki Shouto', 'Todoroki Enji | Endeavor', 'Todoroki Fuyumi', 'Todoroki Touya', 'Dabi (My Hero Academia)', 'Tsukauchi Naomasa']",1666,92,19 Oct 2021
The Quarterly Conference Call,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Kirishima Eijirou', 'Todoroki Shouto', 'Yaoyorozu Momo']",4921,289,19 Oct 2021
Pumpkin Patch.,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Uraraka Ochako'],"['Bakugou Katsuki', 'Uraraka Ochako']",2121,41,19 Oct 2021
