ships,dates
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Apr 2023
Midoriya Izuku & Shirakumo Oboro,02 Apr 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic,02 Apr 2023
Class 1-A & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,02 Apr 2023
Midoriya Izuku & Todoroki Shouto,02 Apr 2023
Midoriya Izuku & Tokoyami Fumikage,02 Apr 2023
Eri & Midoriya Izuku,02 Apr 2023
Aizawa Shouta | Eraserhead & Eri,02 Apr 2023
Eri & Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead & Eri & Midoriya Izuku & Yamada Hizashi | Present Mic,02 Apr 2023
Dabi | Todoroki Touya & Todoroki Shouto,02 Apr 2023
Kayama Nemuri | Midnight & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Apr 2023
Midoriya Izuku & Shirakumo Oboro,02 Apr 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic,02 Apr 2023
Class 1-A & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,02 Apr 2023
Midoriya Izuku & Todoroki Shouto,02 Apr 2023
Midoriya Izuku & Tokoyami Fumikage,02 Apr 2023
Eri & Midoriya Izuku,02 Apr 2023
Aizawa Shouta | Eraserhead & Eri,02 Apr 2023
Eri & Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead & Eri & Midoriya Izuku & Yamada Hizashi | Present Mic,02 Apr 2023
Dabi | Todoroki Touya & Todoroki Shouto,02 Apr 2023
Kayama Nemuri | Midnight & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,31 Mar 2023
Eri & Midoriya Izuku,31 Mar 2023
Bakugou Katsuki & Midoriya Izuku,31 Mar 2023
Class 1-A & Midoriya Izuku,31 Mar 2023
Class 1-A & Eri (My Hero Academia),31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Bakugou Katsuki & Eri,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,01 Apr 2023
Kayama Nemuri | Midnight & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Tsukauchi Naomasa,01 Apr 2023
Midoriya Izuku & Sensei | All For One,01 Apr 2023
Midoriya Izuku & Uraraka Ochako,01 Apr 2023
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,01 Apr 2023
Midoriya Izuku/Shigaraki Tomura | Shimura Tenko,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,01 Apr 2023
Midoriya Izuku & Nedzu,01 Apr 2023
Midoriya Izuku & Tsukauchi Naomasa,01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
Class 1-A & Midoriya Izuku,01 Apr 2023
Midoriya Inko & Midoriya Izuku,01 Apr 2023
Midoriya Hisashi & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,01 Apr 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Midoriya Inko/Midoriya Hisashi,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,28 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,28 Mar 2023
Midoriya Izuku & Takami Keigo | Hawks,28 Mar 2023
Class 1-A & Midoriya Izuku,28 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,28 Mar 2023
Hero Public Safety Commission & Midoriya Izuku,28 Mar 2023
Hero Public Safety Commission & Takami Keigo | Hawks,28 Mar 2023
League of Villains & Takami Keigo | Hawks,28 Mar 2023
Midoriya Izuku & Sensei | All For One,28 Mar 2023
Midoriya Izuku & U.A. Faculty,28 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku & Yamada Hizashi | Present Mic,29 Mar 2023
Midoriya Izuku & Yagi Toshinori | All Might,29 Mar 2023
Class 1-A & Midoriya Izuku,29 Mar 2023
Midoriya Izuku & Nedzu,29 Mar 2023
Jirou Kyouka/Yaoyorozu Momo,29 Mar 2023
Shouji Mezou/Tokoyami Fumikage,29 Mar 2023
Aizawa Shouta | Eraserhead & Nara Shikako,01 Apr 2023
Aizawa Shouta | Eraserhead & Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Original Female Character(s),30 Mar 2023
Midoriya Izuku & Original Female Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Original Character(s),30 Mar 2023
Class 1-A (My Hero Academia) & Original Character(s),30 Mar 2023
Shinsou Hitoshi & Original Character(s),30 Mar 2023
Yamada Hizashi | Present Mic & Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi,30 Mar 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic & Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi & Yamada Hizashi | Present Mic,30 Mar 2023
Shigaraki Tomura | Shimura Tenko & Original Character(s),30 Mar 2023
Kurogiri (My Hero Academia) & Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Original Character(s),31 Mar 2023
Yamada Hizashi | Present Mic & Original Character(s),31 Mar 2023
Kayama Nemuri | Midnight & Original Character(s),31 Mar 2023
Tokoyami Fumikage & Original Character(s),31 Mar 2023
Shouji Mezou & Original Character(s),31 Mar 2023
Aizawa Shouta | Eraserhead & Sensei | All For One,01 Apr 2023
Kurogiri & Shigaraki Tomura | Shimura Tenko,01 Apr 2023
Aizawa Shouta | Eraserhead & Shigaraki Tomura | Shimura Tenko,01 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,01 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight,02 Apr 2023
